Unique Sample Identifier (YYMMDD-XXXXX),Site Code,Day,Sample Site,Trip (YYYY-WW) - WW= Week #,Year/ Month,Month/Day,Sample Date,Season,Sample Date,Sample Time,Weather (1=sunny 2-cloudy 3=raining),Tidal Conditions 1=high 2=medium (ebb) 3=medium (flood) 4=low,"Current Direction (1=still, 2=L to R, 3=R to L, 4=towards, 5=Away)",Wind Speed,Rainfall 24 hrs (inches),Rainfall 3 days (inches),Rainfall Past Week (inches),Water Temp C,DO%,DO mg/L,Salinity ppt,Turb NTU,Chl RFU,Chl ug/L,MPN,Exceedance,
210316-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,8:37 AM,1,3,2,NA,0,0,0.33,24.38,89.2,6.3,29.43,1.35,0.34,1.37,5,,"Calm, some small organic debris, surface mostly clear, two manatees, *Phone not working, no air temp data, wind data, or pictures*"
210316-SBR,SBR,Tuesday,Sandbar,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,10:40 AM,2,1,2,SSE 17,0,0,0.08,24.79,100.7,6.88,33.99,0.95,-0.02,-0.07,5,,"Bubbles, foam on surface, a few pieces of seagrass/vegetation, windy, small fish, rough water surface/wavy"
210316-SWP,SWP,Tuesday,Sweeting Park,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,11:46 AM,1,2,2,SE 13,0,0,0.08,24.64,72.8,5.81,7.36,2.03,2.72,10.87,305,Fail,"Man fishing, lots of floating vegetation, plastic debris, slight biofilm on surface"
210316-TR,TR,Tuesday,Tarpon River,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,10:58 AM,1,1,2,SSE 17,0,0,0.08,24.21,96.8,7.16,22.03,2.57,0.88,3.51,120,Fail,"People fishing at opening (upstream), water is still, no film on surface, lots of floating vegetation"
210323-ABP,ABP,Tuesday,Annie Beck Park,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,10:36 AM,1,4,2,WSW 4,0,0,0.14,24.86,84.9,5.97,28.74,0.92,0.06,0.24,10,,"Very slow water movement, lots of floating vegetation"
210323-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,10:09 AM,1,2,2,WSW 4,0,0,0.04,24.59,92.1,6.91,18.36,8.17,1.11,4.42,63,,"2 ducks, floating vegetation, plastic debris, sargassum, boat traffic"
210323-HC,HC,Tuesday,Himmarshee Canal,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,10:22 AM,1,4,2,WSW 4,0,0,0.04,24.14,67.7,4.84,28.17,1.87,0.35,1.39,299,Fail,"Active constrction downstream, slow moving water, brown, floating vegetation and feathers"
210323-LS,LS,Tuesday,Lake Sylvia,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,9:17 AM,1,2,2,Var 4,0,0,0.04,24.14,95.6,6.66,32.75,4.88,0,0,5,,"Marine construction, sargassum in water, lots of clarity, low tide"
210323-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,9:15 AM,1,2,5,Var 4,0,0,0.14,22.86,85.4,6.33,25.73,0.55,0.29,1.17,31,,"Water calm, no floating vegetation, some sunken leaves, small fish"
210323-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,10:09 AM,1,2,3,WSW 4,0,0,0.14,24,79.7,5.66,29.79,1.27,0.12,0.46,41,,"Smell (eggs) still present, water brown, no floating vegetation/debris"
210323-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,9:45 AM,1,2,3,Var 4,0,0,0.14,24.39,88.7,6.27,29.42,1.17,0.61,2.43,20,,"Swift current, fishing upstream, floating vegetation, brown looking water/turbid, plastic/wood debris"
210323-SBR,SBR,Tuesday,Sandbar,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,9:33 AM,1,2,5,Var 4,0,0,0.04,23.63,93.7,6.56,33.2,0.75,-0.02,-0.09,20,,"Sargassum, floating vegetation, schools of fish, low tide, boat activity"
210323-SWP,SWP,Tuesday,Sweeting Park,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,10:27 AM,2,4,3,WSW 4,0,0,0.04,23.07,90.6,7.47,6.75,9.34,0.09,0.38,185,Fail,"Schools of fish, swarms of bugs on surface, floating vegetation, low tide"
210323-TR,TR,Tuesday,Tarpon River,2021,21-03,23-Mar,21-03-23,Dry,3/23/2021,9:49 AM,1,2,1,Var 4,0,0,0.04,23.39,85.5,6.2,27.79,1.63,0.5,1.99,52,,"Brown water, schools of fish, low tide, floating vegetation, plastic debris, low tide"
210330-ABP,ABP,Tuesday,Annie Beck Park,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,9:34 AM,1,3,2,ESE 13,0,0,0,26.65,90.3,6.08,31.18,2.19,0.06,0.22,20,,"Dog in water prior to sample, surface clear, vegetation and debris in middle of channel"
210330-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,11:01 AM,2,2,2,ESE 14,0,0,0,26.89,78.1,5.37,26.87,1.25,0.35,1.39,52,,"High tide ~should be ebb, fishy smell, lots of washed up sargassum, lots of vegetation and trash washed up"
210330-HC,HC,Tuesday,Himmarshee Canal,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,7:48 AM,1,3,2,ESE 11,0,0,0,26.67,73.1,5.13,23.67,1.14,0.47,1.89,189,Fail,"Particulates and light film on surface, fish swimming"
210330-LS,LS,Tuesday,Lake Sylvia,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,9:58 AM,1,1,3,ESE 13,0,0,0,25.94,94.8,6.32,35.14,1.33,-0.04,-0.15,5,,"Boaters, very little floating debris, bugs on water, surface flood tide (high)"
210330-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,9:14 AM,1,3,5,ESE 13,0,0,0,27.31,84.1,5.62,30.49,1.61,0.2,0.79,10,,"Seafoam, calm, good clarity"
210330-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,8:04 AM,1,3,2,ESE 9,0,0,0,26.81,86.8,5.78,32.4,2.66,0.16,0.66,676,Fail,"Surface clear, some sargassum, no noticeable smell"
210330-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,8:54 AM,1,3,2,ESE 9,0,0,0,26.95,85.3,5.68,32.32,2.11,0.19,0.76,41,,"Surface mostly clear, lots of fish jumping, some seaweed"
210330-SBR,SBR,Tuesday,Sandbar,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,10:25 AM,1,1,2,SE 13,0,0,0,26.28,102.2,6.78,34.89,0.82,-0.02,-0.09,5,,"Boaters upstream, floating sargassum, foam/bubble clusters at sea wall, windy, flood tide (high)"
210330-SWP,SWP,Tuesday,Sweeting Park,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,11:28 AM,2,2,2,SE 23,0,0,0,27.53,70.3,5.15,13.27,2.7,3.45,13.82,74,Fail,"Floating vegetation, coconut, submerged tree, debris, tide high, lots of green algae at waters edge"
210330-TR,TR,Tuesday,Tarpon River,2021,21-03,30-Mar,21-03-30,Dry,3/30/2021,10:41 AM,2,2,1,SE 13,0,0,0,26.77,79.1,5.52,24.3,1.06,0.58,2.32,75,Fail,"~slack high tide, lots of floating vegetation, biofilm on waters surface, foam bubbles"
210406-ABP,ABP,Tuesday,Annie Beck Park,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,12:08 PM,1,3,1,ESE 9,0,0,0,25.2,92,6.36,30.94,7.37,0.07,0.29,5,,"Slack low, dog swimming, floating vegetation upstream"
210406-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,10:03 AM,1,2,2,ESE 8 Var,0,0,0,,,,,,,,31,,"Low tide, dead iguana, some seafoam, floating vegetation"
210406-HC,HC,Tuesday,Himmarshee Canal,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,11:53 AM,1,3,2,ENE 11,0,0,0,24.59,70,4.93,29.32,2.45,0.14,0.97,52,,"Water slow moving and low, small fish, floating seagrass/vegetation, biofilm"
210406-LS,LS,Tuesday,Lake Sylvia,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,9:09 AM,1,2,2,,0,0,0,23.51,97.4,6.8,34.2,5.08,0.07,0.3,10,,"Low tide, swift current, green tint water, nothing floating"
210406-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,10:02 AM,1,2,3,ESE 8 Var,0,0,0,24.22,88,6.22,29.8,1,0.12,0.49,5,,"Clear water, kayakers, some floating vegetation (trash in the distance), small fish"
210406-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,11:38 AM,1,3,3,ENE 11,0,0,0,24.28,85.8,5.99,31.8,1.47,0.08,0.3,5,,"Slow moving water, floating coocnut, floating styrofoam, bugs on surface, no smell, low tide"
210406-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,10:36 AM,1,2,3,ESE 8 Var,0,0,0,24.15,86.7,6.07,31.87,2.15,0.18,0.71,5,,"Seafoam bubbles, boat activity, some floating vegetation"
210406-SBR,SBR,Tuesday,Sandbar,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,9:25 AM,1,2,2,,0,0,0,23.55,99,6.88,24.79,4.36,-0.05,-0.2,31,,"Clear water, bird feathers floating, low tide, little to no wave action"
210406-SWP,SWP,Tuesday,Sweeting Park,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,10:20 AM,2,4,3,ESE 8 Var,0,0,0,,,,,,,,275,Fail,"Low tide, swarming bugs on surface, floating vegetation, bright green algae on shore"
210406-TR,TR,Tuesday,Tarpon River,2021,21-04,6-Apr,21-04-06,Dry,4/6/2021,9:39 AM,1,2,1,,0,0,0,23.31,92.2,6.7,28.04,3.34,0.26,1.02,96,Fail,"Low tide, floating vegetation, sand pile on neightbors lawn, clear water, no algae film"
210413-ABP,ABP,Tuesday,Annie Beck Park,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,9:50 AM,1,1,2,NW 8,,0.9,0.91,25.96,89,6.13,29.27,1.11,0.04,0.17,20,,"Some leaves and particulates near shore, duck swimming"
210413-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,10:28 AM,1,2,3,N 5,0,1.23,1.23,26.03,81.1,5.83,21.3,1.03,0.37,1.49,20,,"Nothing floating, brown water, boat activity"
210413-HC,HC,Tuesday,Himmarshee Canal,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,8:10 AM,1,3,2,,0,1.23,1.23,25.3,72.5,5.22,23.17,0.9,0.29,1.15,216,Fail,"Filmy surface, floating trash and organic debris, fish jumping"
210413-LS,LS,Tuesday,Lake Sylvia,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,9:28 AM,1,1,3,NW 8,0,1.23,1.23,24.72,96.6,6.57,34.99,1.43,0.04,0.16,5,,"High tide, fishermen in boat, rubber dinghy in water (it smelled), lots of clarity and fish in water"
210413-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,9:28 AM,1,1,3,NW 8,,0.9,0.91,25.7,83.7,5.72,31.37,1.54,0.04,0.14,31,,Lots of washed up organic and plastic debris
210413-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,8:31 AM,1,3,2,,,0.9,0.91,25.3,84,5.73,32.78,2.45,0.1,0.42,987,Fail,"Circular eddy flow trapping leaves, sticks, plastic, and a filmy surface - 1 on either side of bridge"
210413-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,9:01 AM,1,3,3,NW 8,,0.9,0.91,25.4,80.5,5.49,32.48,1.31,0.05,0.19,10,,"Some kind of slick on top, lots of floating debris, vegetation, coconuts, slow-moving, foamy"
210413-SBR,SBR,Tuesday,Sandbar,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,9:52 AM,1,1,3,NW 8,0,1.23,1.23,25.13,102.5,6.944,34.74,0.87,-0.04,-0.15,20,,"High tide, lots of clarity, nothing floating"
210413-SWP,SWP,Tuesday,Sweeting Park,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,10:42 AM,1,2,3,N 5,0,1.23,1.23,25.9,70.7,5.32,11.99,1.67,1.59,6.36,9804,Fail,"High tide, some floating vegetation, one duck, brown water"
210413-TR,TR,Tuesday,Tarpon River,2021,21-04,13-Apr,21-04-13,Dry,4/13/2021,10:05 AM,1,1,1,N 5,0,1.23,1.23,25.1,84.4,6.09,24.3,1.79,0.27,1.09,41,,"High tide, green tint, some floating vegetation"
210420-ABP,ABP,Tuesday,Annie Beck Park,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,12:09 PM,2,2,3,SSW 12,0.38,0.38,0.38,27.4,82.5,5.53,29.84,0.82,0.21,0.86,52,,"Dogs at park, floating vegetation, biofilm"
210420-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,9:27 AM,2,2,3,S 8,0,0,0,27.25,82.5,5.88,18.97,3.63,0.81,3.25,171,Fail,"Floating vegetation, low tide, boat activity, not a lot of movement"
210420-HC,HC,Tuesday,Himmarshee Canal,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,11:57 AM,2,2,2,SSW 12,0,0,0,26.86,58,4.02,25.43,1.3,0.35,1.41,2014,Fail,"Slow moving water, large amount of floating vegetation/trash, biofilm on surface"
210420-LS,LS,Tuesday,Lake Sylvia,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,10:38 AM,2,2,3,SSW 6,0,0,0,26.79,91.2,6.04,33.47,1.81,0.04,0.17,122,Fail,"Low tide, tree trimming next door, lots of floating vegetation, swarming bugs on water surface"
210420-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,10:40 AM,2,2,2,SSW 6,0.38,0.38,0.38,27.33,79.4,5.36,28.75,1.46,0.16,0.66,31,,"Clear water, kayakers, sunken trash debris, low tide, little to no floating vegetation"
210420-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,11:40 AM,2,2,2,SSW 12,0.38,0.38,0.38,27.4,80.8,5.34,32.25,2.86,0.14,0.54,63,,"Water brown, bugs on surface, slight biofilm, little to no floating vegetation"
210420-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,11:15 AM,2,2,2,SSW 12,0.38,0.38,0.38,27.3,78.4,5.19,32.24,1.72,0.02,0.09,20,,"Boat activity, bugs on surface, calm surface water, little to no floating vegetation"
210420-SBR,SBR,Tuesday,Sandbar,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,10:16 AM,2,2,3,SSW 6,0,0,0,26.6,95.2,6.32,33.66,4.02,0.16,0.65,41,,"Low tide, seafoam, floating vegetation"
210420-SWP,SWP,Tuesday,Sweeting Park,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,9:02 AM,2,1,3,S 8,0,0,0,26.96,77.4,5.85,9.55,2.48,3.12,12.48,1153,Fail,"Low tide, floating vegetation, slow moving, windy"
210420-TR,TR,Tuesday,Tarpon River,2021,21-04,20-Apr,21-04-20,Dry,4/20/2021,9:51 AM,2,2,1,S 8,0,0,0,27.14,56,3.83,26.67,88.57,1.11,4.46,5794,Fail,"Floating vegetation, palm frond, sediment on neighbors lawn, low tide"
210427-ABP,ABP,Tuesday,Annie Beck Park,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,10:07 AM,1,2,2,E 18,0,0,0.15,26.81,86.2,5.77,31.56,1.06,0.16,0.66,10,,"High water level, floating leaves, sargassum"
210427-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,11:36 AM,1,2,5,E 14,0,0,0.14,27.52,83.5,5.67,26.88,0.91,0.24,0.96,74,Fail,"Lots of floating/washed up sargassum and vegetation and plastic debris, boat activity"
210427-HC,HC,Tuesday,Himmarshee Canal,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,8:20 AM,1,3,2,E 19,0,0,0.14,26.8,77.9,5.3,28.8,0.69,0.27,1.09,275,Fail,"Very high water level, surface clear"
210427-LS,LS,Tuesday,Lake Sylvia,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,10:00 AM,1,2,2,ENE 14,0,0,0.14,26.36,96.3,6.35,35.53,0.99,-0.14,-0.55,10,,"Floating wood debris, vegetation and sargassum, high tide, water moving quickly"
210427-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,9:46 AM,1,2,5,ENE 14,0,0,0.15,27.47,87.7,5.77,32.95,2.53,0.08,0.34,10,,"Some foam, surface mostly clear, unchanged water color, floating leaves and can further out"
210427-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,8:41 AM,1,1,2,E 19,0,0,0.15,26.79,87.7,5.79,34.14,2.07,0.1,0.4,131,Fail,Sargassum and some floating leaves
210427-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,9:17 AM,1,1,3,ENE 14,0,0,0.15,27.12,88.8,5.86,33.46,2.04,0.23,0.92,5,,"Foam, some leaves, boat traffic, murky, brownish"
210427-SBR,SBR,Tuesday,Sandbar,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,10:55 AM,1,2,3,E 18,0,0,0.14,26.67,81.7,5.55,29.43,0.63,0.29,1.16,5,,"Some floating vegetation, small fish, slight biofilm"
210427-SWP,SWP,Tuesday,Sweeting Park,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,11:58 AM,2,2,3,E 14,0,0,0.14,27.61,80.2,5.67,19.34,1.86,2.76,11.04,110,Fail,"People fishing, high tide, water moving fast, some floating vegetation, small fish, water looks pretty good"
210427-TR,TR,Tuesday,Tarpon River,2021,21-04,27-Apr,21-04-27,Dry,4/27/2021,10:35 AM,1,2,2,E 18,0,0,0.14,26.77,108.9,7.13,35.67,0.93,-0.15,-0.59,96,Fail,"High tide, current not strong (maybe around slack), some floating vegetation"
210504-ABP,ABP,Tuesday,Annie Beck Park,2021,21-05,4-May,21-05-04,Dry,5/4/2021,1:55 PM,1,3,3,SE 16,,0,0.57,29.66,103.8,6.69,29.94,1.49,0.29,1.17,20,,"People fishing, a small amount of floating vegetation"
210504-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-05,4-May,21-05-04,Dry,5/4/2021,9:57 AM,1,4,2,S 10,0,0,0.53,29.05,91.3,6.22,21.76,2.49,0.88,3.54,85,Fail,"Low tide, floating vegetation, swift current"
210504-HC,HC,Tuesday,Himmarshee Canal,2021,21-05,4-May,21-05-04,Dry,5/4/2021,1:44 PM,1,3,2,SE 14,0,0,0.53,29.85,90.8,5.95,26.58,0.66,0.52,2.07,110,Fail,"Slow moving, floating vegetation, biofilm, small fish"
210504-LS,LS,Tuesday,Lake Sylvia,2021,21-05,4-May,21-05-04,Dry,5/4/2021,9:09 AM,1,4,3,SSE 11,0,0,0.53,27.77,96.6,6.26,34.49,2.59,0.02,0.09,5,,"Very low tide, floating platform, green tint, small dead fish (seems to be from low tide)"
210504-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-05,4-May,21-05-04,Dry,5/4/2021,12:47 PM,1,3,5,SE 13,,0,0.57,29.5,91.8,5.89,31.35,1.25,0.2,0.8,5,,"3 people, small biofilm, clumps, fish"
210504-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-05,4-May,21-05-04,Dry,5/4/2021,1:31 PM,1,3,2,SE 16,,0,0.57,29.26,99.1,6.32,33.16,1.65,0.21,0.83,5,,"Water brown, floating vegetation, bugs on surface"
210504-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-05,4-May,21-05-04,Dry,5/4/2021,1:12 PM,1,3,2,SE 16,,0,0.57,29.34,91.2,5.81,33.17,1.81,0.22,0.9,5,,"Boat activity, floating vegetation, seafoam"
210504-SBR,SBR,Tuesday,Sandbar,2021,21-05,4-May,21-05-04,Dry,5/4/2021,9:24 AM,2,4,2,SSE 11,0,0,0.53,27.78,94,6.11,34.13,2.04,0.06,0.22,10,,"Sargassum, seafoam, very low tide, plastic debris, boat traffic"
210504-SWP,SWP,Tuesday,Sweeting Park,2021,21-05,4-May,21-05-04,Dry,5/4/2021,10:15 AM,1,3,2,SSE 12,0,0,0.53,28.34,103.6,7.56,11.73,3.5,5.09,20.36,332,Fail,"Low tide, floating vegetation, swift current, plastic debris, foam"
210504-TR,TR,Tuesday,Tarpon River,2021,21-05,4-May,21-05-04,Dry,5/4/2021,9:38 AM,1,4,2,SSE 11,0,0,0.53,28.15,84.3,5.61,28.53,62.41,0.79,3.14,63,,"Very low tide, muddy, manny active small fish, floating vegetation, street construction"
210511-ABP,ABP,Tuesday,Annie Beck Park,2021,21-05,11-May,21-05-11,Dry,5/11/2021,10:16 AM,1,2,2,SE 5,,0,0,29.16,92.2,6.01,29.29,3.24,0.07,0.28,108,Fail,"Slow moving, organic film, floating vegetation"
210511-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-05,11-May,21-05-11,Dry,5/11/2021,10:41 AM,1,2,2,SE 5,0,0.02,1.82,29.3,91.5,6.18,22.37,0.99,0.82,3.26,10,,Very large boat had just past before sample
210511-HC,HC,Tuesday,Himmarshee Canal,2021,21-05,11-May,21-05-11,Dry,5/11/2021,10:02 AM,1,2,3,SE 5,0,0.02,1.82,28.25,79.4,5.38,24.92,0.83,0.52,2.06,75,Fail,"Green tint, slow movement, schools of fish"
210511-LS,LS,Tuesday,Lake Sylvia,2021,21-05,11-May,21-05-11,Dry,5/11/2021,9:41 AM,1,2,2,,0,0.02,1.82,28,97.1,6.26,34.57,2.91,0.05,0.19,5,,Neighbor upset about parking location
210511-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-05,11-May,21-05-11,Dry,5/11/2021,11:22 AM,1,2,3,ESE 9,,0,0,29.18,94.3,6.14,29.89,4.75,0.18,0.72,5,,"Lots of clarity, active schools of fish, floating leaves"
210511-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-05,11-May,21-05-11,Dry,5/11/2021,10:32 AM,1,2,3,SE 5,,0,0,29.04,85.1,5.5,31.38,1.02,0.14,0.55,10,,"No smell, floating vegetation"
210511-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-05,11-May,21-05-11,Dry,5/11/2021,10:55 AM,1,2,3,SE 5,,0,0,29.21,92.2,5.9,32.74,1.96,0.13,0.51,10,,"Boat activity, sargassum bubbles"
210511-SBR,SBR,Tuesday,Sandbar,2021,21-05,11-May,21-05-11,Dry,5/11/2021,10:08 AM,1,2,2,SE 5,0,0.02,1.82,28,103.2,6.62,34.95,2.59,-0.08,-0.32,5,,Lots of sargassum floating on top
210511-SWP,SWP,Tuesday,Sweeting Park,2021,21-05,11-May,21-05-11,Dry,5/11/2021,11:07 AM,1,2,3,ESE 9,0,0.02,1.82,29.4,84.1,6.04,11.18,2.07,4.43,17.71,2310,Fail,"Lots of debris, trash, organic matter, possibly low tide"
210511-TR,TR,Tuesday,Tarpon River,2021,21-05,11-May,21-05-11,Dry,5/11/2021,10:20 AM,1,2,1,SE 5,0,0.02,1.82,28,84.2,5.63,26.37,0.78,0.58,2.33,41,,
210518-ABP,ABP,Tuesday,Annie Beck Park,2021,21-05,18-May,21-05-18,Wet,5/18/2021,10:28 AM,2,3,3,E 18 Gusts 25,,0.1,1.01,27.85,82.3,5.49,29.18,1.13,0.26,1.02,20,,"Low tide flood, people fishing, floating vegetation, windy, water clear"
210518-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-05,18-May,21-05-18,Wet,5/18/2021,10:08 AM,2,3,3,E 18 Gusts 25,0,0,0.56,28.13,82.9,6.2,18.38,1.98,0.78,3.13,31,,"Fish in water, floating vegetation, plastic debris, seafoam, windy, low wave action"
210518-HC,HC,Tuesday,Himmarshee Canal,2021,21-05,18-May,21-05-18,Wet,5/18/2021,10:18 AM,1,3,2,E 18 Gusts 25,0,0,0.56,27.24,79.4,5.43,26.45,0.78,0.34,1.35,213,Fail,"Low tide flood, fish, small amount of floating vegetation"
210518-LS,LS,Tuesday,Lake Sylvia,2021,21-05,18-May,21-05-18,Wet,5/18/2021,9:19 AM,2,3,2,E 19 Gusts 27,0,0,0.56,27.53,94.1,6.17,33.38,2.91,0.1,0.4,10,,"Sargassum, floating vegetation, wood construction, windy, sprinkled before sample taken"
210518-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-05,18-May,21-05-18,Wet,5/18/2021,9:10 AM,3,3,3,E 19 Gusts 27,,0.1,1.01,28.09,82.5,5.46,29.81,1.96,0.41,1.63,10,,"Low tide flood, slight wind, calm waters, some floating vegetation, a few people on water, low tide"
210518-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-05,18-May,21-05-18,Wet,5/18/2021,10:01 AM,2,3,2,E 18 Gusts 25,,0.1,1.01,27.77,84.2,5.54,31.82,1.69,0.15,0.6,5,,"Low tide flood,floating vegetation, plastic debris, windy, small pieces sargassum, bugs, small amount of film"
210518-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-05,18-May,21-05-18,Wet,5/18/2021,9:34 AM,2,3,2,E 19 Gusts 27,,0.1,1.01,27.8,82.8,5.45,31.9,1.75,0.15,0.61,10,,"Low tide flood, boat activity, seafoam bubbles, floating vegetation, biofilm, bugs"
210518-SBR,SBR,Tuesday,Sandbar,2021,21-05,18-May,21-05-18,Wet,5/18/2021,9:36 AM,2,3,2,E 19 Gusts 27,0,0,0.56,27.26,91.9,6.06,32.88,0.88,0.27,1.09,31,,"Seafoam, boat activity, low action waves, incoming tide"
210518-SWP,SWP,Tuesday,Sweeting Park,2021,21-05,18-May,21-05-18,Wet,5/18/2021,10:29 AM,2,3,2,E 18 Gusts 25,0,0,0.56,26.17,87,6.69,9.06,2.66,4.26,17.04,121,Fail,"Floating vegetation, turbid, windy, low wave action, plastic debris"
210518-TR,TR,Tuesday,Tarpon River,2021,21-05,18-May,21-05-18,Wet,5/18/2021,9:50 AM,2,3,3,E 19 Gusts 27,0,0,0.56,27.01,85.6,5.88,26.55,2.31,0.69,2.76,158,Fail,"Floating vegetation, water slightly brown, small fish, low wave, incoming tide"
210525-ABP,ABP,Tuesday,Annie Beck Park,2021,21-05,25-May,21-05-25,Wet,5/25/2021,10:20 AM,1,2,2,ESE 12,0,0.05,0.08,27.35,83,5.57,29.62,1.28,0.26,1.03,5,,"Floating vegetation, some fish"
210525-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-05,25-May,21-05-25,Wet,5/25/2021,11:16 AM,1,2,4,E 13,0,0,0.14,27.58,79.8,5.5,24.84,1.15,0.43,1.71,10,,"Foam, floating debris, sargassum on shore, slightly windy, low tide, trash/plastic"
